id,name,now_cost,position,team,points_per_game_rank_type,selected_rank,bonus,penalties_saved,direct_freekicks_order,form_rank_type,ict_index,expected_goals_conceded_per_90,goals_conceded,saves,points_per_game,yellow_cards,minutes,penalties_missed,saves_per_90,starts_per_90,expected_goal_involvements_per_90,chance_of_playing_next_round,expected_goal_involvements,corners_and_indirect_freekicks_order,now_cost_rank,creativity_rank,ict_index_rank,creativity,expected_goals_conceded,goals_conceded_per_90,ep_next,starts,own_goals,now_cost_rank_type,web_name,clean_sheets,selected_by_percent,creativity_rank_type,threat,clean_sheets_per_90,threat_rank,points_per_game_rank,news,bps,news_added,red_cards,influence_rank_type,expected_assists,selected_rank_type,value_season,form_rank,influence_rank,total_points,status,ict_index_rank_type,expected_assists_per_90,influence,goals_scored,expected_goals_per_90,expected_goals,assists,threat_rank_type,penalties_order
68,Ryan Fredericks,45,DEF,Bournemouth,134,432,0,0,,73,10.6,1.73,11,0,1.0,1,527,0,0.0,0.85,0.05,,0.29,,318,312,340,26.7,10.14,1.88,2.0,5,0,49,Fredericks,0,0.1,117,12.0,0.0,327,364,,63,,0,125,0.29,167,2.7,125,328,12,a,125,0.05,66.0,0,0.0,0.00,0,125,
69,James Hill,40,DEF,Bournemouth,171,316,0,0,,49,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,599,441,451,0.0,0.00,0.0,1.0,0,0,196,Hill,0,0.3,170,0.0,0.0,426,456,,0,,0,170,0.00,116,0.0,87,449,0,a,170,0.0,0.0,0,0.0,0.00,0,169,
70,Lloyd Kelly,45,DEF,Bournemouth,69,527,5,0,,150,56.3,1.58,38,0,2.6,3,2040,0,0.0,1.01,0.04,50.0,0.87,,434,217,216,114.0,35.92,1.68,1.0,23,0,126,Kelly,5,0.1,64,26.0,0.22,313,183,Knock - 50% chance of playing,372,2023-07-26T15:30:04.054546Z,0,47,0.70,201,13.3,241,134,60,d,74,0.03,419.8,0,0.01,0.17,2,117,
71,Gavin Kilkenny,45,MID,Bournemouth,208,500,0,0,,39,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,466,525,528,0.0,0.00,0.0,1.0,0,0,231,Kilkenny,0,0.1,207,0.0,0.0,517,530,,0,,0,206,0.00,167,0.0,273,527,0,a,206,0.0,0.0,0,0.0,0.00,0,204,
72,Justin Kluivert,50,MID,Bournemouth,249,186,0,0,,136,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,248,585,587,0.0,0.00,0.0,1.6,0,0,161,Kluivert,0,0.9,249,0.0,0.0,583,587,,0,,0,249,0.00,64,0.0,421,586,0,a,249,0.0,0.0,0,0.0,0.00,0,249,
73,Jamal Lowe,50,MID,Bournemouth,179,599,0,0,,98,0.1,5.07,0,0,1.0,0,11,0,0.0,0.0,0.08,,0.01,,191,365,390,0.3,0.62,0.0,1.6,0,0,123,Lowe,0,0.0,181,0.0,0.0,559,383,,6,,0,181,0.01,248,0.4,364,388,2,a,181,0.08,0.2,0,0.0,0.00,0,234,
74,Emiliano Marcondes,45,MID,Bournemouth,164,556,0,0,,7,0.1,3.15,1,0,1.0,0,8,0,0.0,0.0,0.0,,0.00,,348,472,388,0.0,0.28,11.25,1.0,0,0,199,Marcondes,0,0.0,187,0.0,0.0,461,367,,3,,0,177,0.00,211,0.2,155,382,1,a,179,0.0,1.2,0,0.0,0.00,0,181,
75,Chris Mepham,45,DEF,Bournemouth,111,470,6,0,,142,74.4,1.74,52,0,1.7,7,2197,0,0.0,0.98,0.06,,1.51,,420,284,171,54.4,42.46,2.13,2.0,24,2,118,Mepham,5,0.1,101,134.0,0.2,190,295,,369,,0,26,0.55,186,9.6,227,84,43,a,48,0.02,556.4,0,0.04,0.96,0,44,
76,Kieffer Moore,50,FWD,Bournemouth,28,248,3,0,,22,59.5,1.81,34,0,2.1,1,1269,0,0.0,0.85,0.34,,4.68,,192,237,206,100.1,25.51,2.41,1.4,12,0,42,Moore,3,0.5,29,280.0,0.21,113,241,,161,,0,22,0.50,46,11.4,365,236,57,a,27,0.04,219.4,4,0.3,4.18,0,28,
77,Norberto Murara Neto,45,GKP,Bournemouth,20,190,9,0,,48,72.8,1.69,39,100,3.4,4,2385,0,3.77,1.02,0.0,,0.02,,313,459,178,0.0,44.70,1.47,2.3,27,0,16,Neto,6,0.8,57,0.0,0.23,445,101,,510,,0,10,0.02,29,20.7,120,36,93,a,11,0.0,727.6,0,0.0,0.00,0,49,
78,Dango Ouattara,50,MID,Bournemouth,75,526,4,0,,164,82.5,1.88,23,0,2.6,1,1239,0,0.0,1.09,0.38,,5.20,,291,121,148,262.5,25.86,1.67,1.6,15,0,189,O.Dango,1,0.1,84,283.0,0.07,112,190,,163,,0,92,1.68,185,9.8,464,204,49,a,88,0.12,280.8,1,0.26,3.52,3,74,
79,Ben Pearson,45,MID,Bournemouth,151,611,0,0,,10,3.7,1.89,10,0,1.3,1,282,0,0.0,0.96,0.03,0.0,0.07,,355,343,363,6.4,5.92,3.19,0.0,3,0,202,Pearson,1,0.0,169,9.0,0.32,332,341,Permanent transfer to Stoke City,32,2023-07-11T08:58:20.803049Z,0,161,0.02,259,2.0,162,358,9,u,165,0.01,21.0,0,0.02,0.05,0,164,
80,Darren Randolph,40,GKP,Bournemouth,33,232,0,0,,5,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,517,374,394,0.0,0.00,0.0,1.0,0,0,34,Randolph,0,0.5,15,0.0,0.0,356,399,,0,,0,33,0.00,35,0.0,5,392,0,a,33,0.0,0.0,0,0.0,0.00,0,6,
81,Joe Rothwell,50,MID,Bournemouth,132,600,0,0,4.0,106,30.6,1.54,15,0,1.6,1,1010,0,0.0,1.07,0.14,,1.63,2.0,203,181,288,153.3,17.29,1.34,1.6,12,0,131,Rothwell,3,0.0,113,27.0,0.27,310,308,,167,,0,125,1.47,249,6.6,376,288,33,a,135,0.13,127.4,0,0.01,0.16,1,155,
82,Antoine Semenyo,45,FWD,Bournemouth,34,111,1,0,,14,10.7,2.77,6,0,1.6,0,250,0,0.0,0.72,0.14,,0.38,,462,313,339,26.5,7.70,2.16,1.0,2,0,71,Semenyo,0,2.7,37,32.0,0.0,303,306,,56,,0,37,0.02,22,4.0,269,342,18,a,38,0.01,50.0,1,0.13,0.36,0,39,
83,Marcos Senesi,45,DEF,Bournemouth,84,403,5,0,,136,79.6,1.72,55,0,2.2,7,2489,0,0.0,1.05,0.07,,2.01,,412,258,156,79.1,47.62,1.99,2.0,29,0,112,Senesi,5,0.2,89,113.0,0.18,211,222,,462,,0,19,0.35,154,15.3,219,72,69,a,39,0.01,602.2,2,0.06,1.66,0,61,
84,Adam Smith,45,DEF,Bournemouth,94,423,5,0,,64,78.3,1.65,58,0,2.0,11,2940,0,0.0,1.04,0.07,,2.07,,304,115,157,276.9,54.01,1.78,2.0,34,0,40,Smith,7,0.2,23,88.0,0.21,231,251,,400,,0,49,1.57,163,16.4,111,136,74,a,40,0.05,416.6,0,0.02,0.50,1,72,
85,Dominic Solanke,65,FWD,Bournemouth,11,107,14,0,,61,185.7,1.62,52,0,3.9,2,2865,0,0.0,1.01,0.36,,11.39,,45,114,40,282.1,51.51,1.63,2.2,32,0,16,Solanke,8,2.9,10,1053.0,0.25,13,61,,339,,0,8,2.30,21,20.0,565,92,130,a,9,0.07,528.8,6,0.29,9.09,10,8,1.0
86,Marcus Tavernier,55,MID,Bournemouth,20,457,12,0,3.0,190,124.2,1.64,37,0,4.1,1,1740,0,0.0,0.98,0.23,25.0,4.50,4.0,116,95,83,348.4,31.77,1.91,0.5,19,0,72,Tavernier,5,0.1,72,436.0,0.26,68,43,Knock - 25% chance of playing,315,2023-07-26T15:30:04.076941Z,0,54,1.37,150,17.1,504,116,94,d,59,0.07,459.8,5,0.16,3.13,4,49,
87,Hamed Traorè,50,MID,Bournemouth,106,574,0,0,6.0,145,33.8,2.1,8,0,2.0,0,425,0,0.0,1.06,0.46,,2.19,1.0,263,144,277,218.5,9.94,1.69,1.6,5,0,170,Hamed Traorè,2,0.0,96,36.0,0.42,300,264,,60,,0,140,1.15,227,2.8,436,313,14,a,128,0.24,84.0,0,0.22,1.04,0,151,
88,Mark Travers,40,GKP,Bournemouth,25,172,1,0,,35,29.1,1.71,32,36,2.3,0,1035,0,3.13,0.96,0.0,0.0,0.00,,576,422,292,0.0,19.68,2.78,0.0,11,0,64,Travers,2,1.0,45,0.0,0.17,407,214,On loan to Stoke City for the season,193,2023-07-28T08:25:34.409705Z,0,18,0.00,23,7.0,64,197,28,u,18,0.0,290.0,0,0.0,0.00,0,36,
89,Illia Zabarnyi,45,DEF,Bournemouth,122,473,0,0,,166,5.8,1.55,5,0,1.4,0,297,0,0.0,0.91,0.0,,0.01,,483,354,357,1.4,5.12,1.52,2.0,3,0,142,Zabarnyi,0,0.1,131,0.0,0.0,526,332,,54,,0,126,0.01,187,1.6,290,332,7,a,129,0.0,58.0,0,0.0,0.00,0,201,
595,Milos Kerkez,45,DEF,Bournemouth,203,348,0,0,,171,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,509,548,552,0.0,0.00,0.0,2.0,0,0,147,Kerkez,0,0.2,203,0.0,0.0,543,553,,0,,0,203,0.00,130,0.0,316,551,0,a,203,0.0,0.0,0,0.0,0.00,0,203,
607,Ionuț Radu,45,GKP,Bournemouth,67,490,0,0,,58,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,404,491,494,0.0,0.00,0.0,2.3,0,0,26,Radu,0,0.1,64,0.0,0.0,482,498,,0,,0,67,0.00,62,0.0,211,492,0,a,67,0.0,0.0,0,0.0,0.00,0,59,
90,Kristoffer Ajer,45,DEF,Brentford,33,304,0,0,,111,15.1,1.34,14,0,3.2,0,763,0,0.0,1.06,0.01,,0.16,,378,316,326,24.7,11.34,1.65,2.0,9,0,87,Ajer,4,0.3,118,27.0,0.47,309,118,,129,,0,117,0.12,109,6.4,185,303,29,a,119,0.01,96.8,0,0.0,0.04,0,115,
91,Ellery Balcombe,40,GKP,Brentford,55,306,0,0,,36,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,581,425,436,0.0,0.00,0.0,1.0,0,0,65,Balcombe,0,0.3,46,0.0,0.0,410,441,,0,,0,55,0.00,49,0.0,69,434,0,a,55,0.0,0.0,0,0.0,0.00,0,37,
92,Shandon Baptiste,45,MID,Brentford,152,76,0,0,,34,31.2,1.13,6,0,1.3,1,600,0,0.0,0.6,0.13,,0.85,,453,189,285,144.5,7.51,0.9,1.0,4,0,226,Baptiste,1,5.1,117,54.0,0.15,276,344,,123,,1,129,0.53,24,6.4,260,294,29,a,133,0.08,112.8,0,0.05,0.32,2,138,
93,Mads Bech Sørensen,40,DEF,Brentford,131,342,0,0,,29,0.2,1.4,0,0,1.0,0,18,0,0.0,0.0,0.0,,0.00,,575,366,387,0.2,0.28,0.0,1.0,0,0,176,Bech,0,0.2,136,0.0,0.0,406,360,,12,,0,135,0.00,127,1.0,63,380,4,a,137,0.0,2.6,0,0.0,0.00,0,153,
94,Mads Bidstrup,45,MID,Brentford,214,605,0,0,,51,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00,,486,533,537,0.0,0.00,0.0,0.0,0,0,243,Bidstrup,0,0.0,213,0.0,0.0,528,538,Transfer to Red Bull Salzburg on a permanent basis,0,2023-07-19T08:50:35.624414Z,0,213,0.00,254,0.0,293,536,0,u,213,0.0,0.0,0,0.0,0.00,0,212,
95,Sergi Canós Tenés,50,MID,Brentford,180,539,0,0,,115,2.8,2.21,2,0,1.0,0,73,0,0.0,0.0,0.14,,0.11,,213,333,369,13.5,1.79,2.47,1.6,0,0,140,Canós,0,0.1,167,6.0,0.0,341,384,,14,,0,172,0.04,195,1.0,386,374,5,a,169,0.05,7.0,0,0.09,0.07,0,168,
96,Nathan Collins,45,DEF,Brentford,102,276,6,0,,157,51.5,1.64,37,0,1.9,2,1811,0,0.0,0.94,0.02,,0.44,,456,299,225,38.9,32.93,1.84,2.0,19,0,133,Collins,4,0.4,111,36.0,0.2,298,269,,326,,1,43,0.21,97,10.9,263,126,49,a,77,0.01,437.0,0,0.01,0.23,0,111,
97,Matthew Cox,40,GKP,Brentford,60,553,0,0,,42,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00,,610,451,460,0.0,0.00,0.0,0.0,0,0,71,Cox,0,0.0,52,0.0,0.0,436,465,On loan to Bristol Rovers for the season,0,2023-07-26T11:24:14.392215Z,0,60,0.00,69,0.0,98,458,0,u,60,0.0,0.0,0,0.0,0.00,0,43,
98,Mikkel Damsgaard,50,MID,Brentford,156,444,0,0,,150,46.5,1.38,14,0,1.3,4,970,0,0.0,0.84,0.33,,3.63,,270,172,243,172.1,14.89,1.3,1.6,9,0,175,Damsgaard,3,0.1,109,152.0,0.28,177,348,,131,,0,121,1.32,143,6.6,443,280,33,a,116,0.12,140.2,0,0.21,2.31,0,111,
99,Josh Dasilva,50,MID,Brentford,89,279,3,0,,120,69.6,1.17,17,0,2.2,1,1371,0,0.0,0.92,0.21,,3.20,,219,148,185,208.5,17.89,1.12,1.6,14,0,145,Dasilva,5,0.4,98,182.0,0.33,158,226,,274,,0,87,1.62,91,16.2,392,187,81,a,98,0.11,305.8,4,0.1,1.58,2,102,4.0
100,Halil Dervişoğlu,45,FWD,Brentford,10,511,0,0,,13,1.0,1.5,0,0,4.0,0,6,0,0.0,0.0,0.45,0.0,0.03,,460,522,377,0.0,0.10,0.0,0.0,0,0,70,Dervişoğlu,0,0.1,51,10.0,0.0,331,47,Transfer to Galatasaray on a permanent basis,11,2023-07-19T08:49:49.674290Z,0,51,0.00,73,0.9,267,524,4,u,41,0.0,0.0,0,0.45,0.03,1,41,
101,Mark Flekken,45,GKP,Brentford,65,115,0,0,,54,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,345,470,475,0.0,0.00,0.0,2.3,0,0,22,Flekken,0,2.4,61,0.0,0.0,458,479,,0,,0,65,0.00,15,0.0,152,473,0,a,65,0.0,0.0,0,0.0,0.00,0,55,
102,Charlie Goode,40,DEF,Brentford,155,391,0,0,,27,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,568,415,427,0.0,0.00,0.0,1.0,0,0,174,Goode,0,0.2,153,0.0,0.0,399,432,,0,,0,154,0.00,149,0.0,56,425,0,a,154,0.0,0.0,0,0.0,0.00,0,151,
103,Rico Henry,45,DEF,Brentford,43,61,4,0,,114,107.0,1.35,46,0,3.0,4,3240,0,0.0,1.03,0.13,,4.70,,381,74,105,411.5,48.49,1.28,2.0,37,0,90,Henry,11,6.2,11,197.0,0.31,152,137,,505,,0,38,2.90,23,24.9,188,115,112,a,18,0.08,460.0,0,0.05,1.80,3,23,
104,Aaron Hickey,45,DEF,Brentford,82,274,2,0,,164,45.1,1.32,30,0,2.4,7,1918,0,0.0,1.08,0.05,,0.96,,478,209,247,120.7,28.13,1.41,2.0,23,0,140,Hickey,5,0.4,60,102.0,0.23,222,208,,310,,0,89,0.58,95,14.0,285,231,63,a,86,0.03,227.4,0,0.02,0.38,3,67,
105,Vitaly Janelt,55,MID,Brentford,83,461,5,0,,193,91.3,1.21,28,0,2.4,3,2201,0,0.0,0.98,0.16,,3.89,,119,124,132,258.8,29.68,1.14,2.0,24,0,75,Janelt,8,0.1,86,243.0,0.33,125,211,,357,,0,61,1.56,151,15.5,507,140,85,a,81,0.06,411.2,3,0.1,2.33,1,80,
106,Mathias Jensen,55,MID,Brentford,35,181,11,0,2.0,194,164.1,1.3,40,0,3.6,5,2805,0,0.0,1.19,0.23,,7.13,2.0,121,21,49,787.9,40.47,1.28,2.0,37,0,76,Jensen,10,0.9,18,208.0,0.32,149,84,,498,,0,27,4.79,62,24.0,509,62,132,a,36,0.15,644.0,5,0.08,2.34,7,97,
107,Keane Lewis-Potter,50,MID,Brentford,149,569,0,0,,144,21.9,1.19,4,0,1.4,0,313,0,0.0,0.86,0.22,,0.78,,262,273,309,64.0,4.15,1.15,1.6,3,0,169,Lewis-Potter,0,0.0,143,114.0,0.0,209,337,,37,,0,155,0.29,222,2.8,435,346,14,a,143,0.08,42.0,0,0.14,0.49,1,116,
108,Bryan Mbeumo,65,MID,Brentford,28,18,19,0,3.0,234,239.5,1.3,39,0,3.9,5,2905,0,0.0,1.12,0.46,,15.01,1.0,52,19,19,808.6,41.96,1.21,2.3,36,0,32,Mbeumo,10,20.2,16,895.0,0.31,21,62,,556,,0,21,5.53,7,23.1,572,46,150,a,13,0.17,692.6,9,0.29,9.48,9,12,2.0
109,Ben Mee,50,DEF,Brentford,9,55,11,0,,174,122.2,1.27,40,0,3.9,2,3269,0,0.0,1.02,0.11,,3.93,,156,231,86,103.1,46.31,1.1,2.3,37,0,14,Mee,12,7.4,73,336.0,0.33,96,54,,643,,0,5,0.74,18,28.6,329,26,143,a,13,0.02,780.6,3,0.09,3.19,2,6,
110,Christian Nørgaard,55,MID,Brentford,50,407,6,0,,176,82.3,1.28,23,0,3.2,6,1763,0,0.0,1.07,0.17,,3.38,,96,170,149,173.7,25.13,1.17,2.0,21,0,58,Nørgaard,6,0.2,108,269.0,0.31,117,122,,309,,0,71,1.74,129,12.9,484,159,71,a,89,0.09,379.2,1,0.08,1.64,6,75,
111,Frank Onyeka,50,MID,Brentford,123,570,0,0,,146,34.2,1.68,11,0,1.8,0,837,0,0.0,0.86,0.19,,1.81,,264,244,276,93.7,15.65,1.18,1.6,8,0,171,Onyeka,3,0.0,135,111.0,0.32,217,288,,111,,0,123,0.78,223,7.6,437,284,38,a,127,0.08,136.4,0,0.11,1.03,3,119,
112,Ethan Pinnock,45,DEF,Brentford,16,138,6,0,,146,127.2,1.34,34,0,3.7,0,2700,0,0.0,1.0,0.13,,3.84,,424,224,78,110.1,40.17,1.13,2.0,30,1,122,Pinnock,10,1.6,70,319.0,0.33,98,72,,575,,0,3,1.11,46,24.9,231,19,112,a,10,0.04,840.8,3,0.09,2.73,0,7,
113,David Raya Martin,50,GKP,Brentford,4,47,20,0,,66,117.3,1.32,46,154,4.4,1,3420,0,4.05,1.0,0.0,,0.23,,200,321,92,20.1,50.12,1.21,3.2,38,1,8,Raya,12,8.4,3,4.0,0.32,347,23,,822,,0,2,0.12,8,33.2,373,4,166,a,1,0.0,1146.0,0,0.0,0.11,0,1,
114,Mads Roerslev Rasmussen,45,DEF,Brentford,81,481,0,0,,145,33.4,1.44,12,0,2.4,0,1101,0,0.0,0.98,0.09,,1.10,,423,208,280,120.7,17.67,0.98,2.0,12,0,121,Roerslev,5,0.1,59,46.0,0.41,288,207,,201,,0,103,0.82,192,10.7,230,262,48,a,101,0.07,167.6,0,0.02,0.28,0,106,
115,Kevin Schade,55,MID,Brentford,135,411,0,0,,211,39.8,0.89,7,0,1.6,2,723,0,0.0,0.87,0.34,,2.74,,145,216,263,115.5,7.18,0.87,2.0,7,0,93,Schade,3,0.2,126,209.0,0.37,148,311,,76,,0,142,0.67,131,5.3,533,320,29,a,124,0.08,74.4,0,0.26,2.07,1,96,
116,Thomas Strakosha,40,GKP,Brentford,44,234,0,0,,22,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,548,399,413,0.0,0.00,0.0,1.0,0,0,51,Strakosha,0,0.5,32,0.0,0.0,382,418,,0,,0,44,0.00,36,0.0,36,411,0,a,44,0.0,0.0,0,0.0,0.00,0,23,
117,Ivan Toney,80,FWD,Brentford,3,373,35,0,1.0,72,258.7,1.33,42,0,5.5,9,2953,1,0.0,1.01,0.68,0.0,22.46,,11,67,14,424.3,43.65,1.28,0.0,33,0,4,Toney,10,0.2,3,1240.0,0.3,8,9,Suspended until 17 Jan,607,2023-07-05T16:30:03.752728Z,0,3,3.72,63,22.8,599,12,182,s,3,0.11,926.8,20,0.57,18.74,4,5,1.0
118,Ryan Trevitt,45,MID,Brentford,226,603,0,0,,68,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00,,512,551,555,0.0,0.00,0.0,0.0,0,0,260,Trevitt,0,0.0,225,0.0,0.0,546,556,Joined Exeter City on a season-long loan - Expected back 01 Jul,0,2023-07-18T20:00:03.847234Z,0,225,0.00,252,0.0,319,554,0,n,225,0.0,0.0,0,0.0,0.00,0,224,
119,Yoane Wissa,60,FWD,Brentford,18,83,6,0,,57,96.8,1.23,17,0,2.9,3,1587,0,0.0,0.91,0.38,,6.73,,72,158,124,185.3,21.64,0.96,2.1,16,0,24,Wissa,7,4.5,17,424.0,0.4,72,159,,292,,0,16,1.08,16,18.5,551,168,111,a,17,0.06,366.2,7,0.32,5.65,4,19,
120,Yegor Yarmolyuk,45,MID,Brentford,220,171,0,0,,60,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,501,543,547,0.0,0.00,0.0,1.0,0,0,252,Yarmolyuk,0,1.0,219,0.0,0.0,538,548,,0,,0,219,0.00,59,0.0,308,546,0,a,219,0.0,0.0,0,0.0,0.00,0,218,
121,Mathias Jorgensen,45,DEF,Brentford,73,452,4,0,,63,30.0,1.62,15,0,2.5,2,1097,0,0.0,0.9,0.12,,1.48,,302,297,289,39.4,19.73,1.23,2.0,11,1,39,Zanka,4,0.1,109,54.0,0.33,273,195,,191,,0,96,0.15,176,10.0,109,246,45,a,104,0.01,203.2,0,0.11,1.33,1,100,
122,Simon Adingra,50,MID,Brighton,255,259,0,0,,165,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,292,597,597,0.0,0.00,0.0,2.1,0,0,190,Adingra,0,0.4,255,0.0,0.0,594,597,,0,,0,255,0.00,87,0.0,465,597,0,a,255,0.0,0.0,0,0.0,0.00,0,255,
123,Steven Alzate,45,MID,Brighton,199,424,0,0,,24,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,433,507,510,0.0,0.00,0.0,1.5,0,0,216,Alzate,0,0.2,198,0.0,0.0,498,513,,0,,0,196,0.00,136,0.0,240,508,0,a,196,0.0,0.0,0,0.0,0.00,0,193,
124,Yasin Ayari,45,MID,Brighton,175,532,0,0,,61,3.5,2.01,2,0,1.0,0,65,0,0.0,1.38,0.45,,0.32,,502,314,364,25.5,1.45,2.77,1.5,1,0,253,Ayari,0,0.1,160,3.0,0.0,348,379,,14,,0,171,0.30,189,0.7,309,373,3,a,166,0.42,7.4,0,0.03,0.02,0,173,
125,Facundo Buonanotte,50,MID,Brighton,109,501,2,0,,167,28.5,1.92,12,0,2.0,2,558,0,0.0,0.97,0.27,,1.69,,294,235,295,100.9,11.93,1.94,2.1,6,0,192,Buonanotte,1,0.1,132,102.0,0.16,224,267,,72,,0,138,0.39,168,5.2,467,310,26,a,139,0.06,90.0,1,0.21,1.30,1,121,
126,Moisés Caicedo Corozo,50,MID,Brighton,97,105,0,0,,158,148.2,1.32,47,0,2.1,10,3138,0,0.0,0.98,0.12,,4.18,,283,32,63,680.4,45.90,1.35,2.1,34,0,183,Caicedo,10,2.9,26,210.0,0.29,146,243,,503,,0,36,2.51,37,15.8,456,73,79,a,47,0.07,589.8,1,0.05,1.67,1,95,
127,Aaron Connolly,45,FWD,Brighton,49,282,0,0,,8,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00,,431,505,508,0.0,0.00,0.0,0.0,0,0,65,Connolly,0,0.3,47,0.0,0.0,496,511,Permanent move to Hull City,0,2023-08-04T09:39:43.029546Z,0,47,0.00,50,0.0,238,506,0,u,49,0.0,0.0,0,0.0,0.00,0,49,
128,Mahmoud Dahoud,50,MID,Brighton,238,404,0,0,,112,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,209,566,568,0.0,0.00,0.0,2.1,0,0,137,Dahoud,0,0.2,238,0.0,0.0,564,568,,0,,0,238,0.00,128,0.0,382,567,0,a,238,0.0,0.0,0,0.0,0.00,0,238,
129,Lewis Dunk,50,DEF,Brighton,38,86,7,0,3.0,177,102.4,1.29,50,0,3.1,4,3240,0,0.0,1.0,0.07,,2.57,,169,177,114,163.6,46.43,1.39,2.8,36,1,17,Dunk,12,4.0,47,198.0,0.33,151,126,,648,,0,14,0.90,27,22.4,342,54,112,a,22,0.02,661.4,1,0.05,1.67,1,22,
130,Julio Enciso,55,MID,Brighton,65,51,7,0,,209,83.8,1.67,12,0,2.9,1,794,0,0.0,0.79,0.58,,5.11,,141,167,146,177.5,14.76,1.36,2.5,7,0,91,Enciso,4,8.0,106,399.0,0.45,81,157,,189,,0,98,1.18,14,10.4,529,216,57,a,86,0.13,262.8,4,0.45,3.93,3,57,
131,Pervis Estupiñán,50,DEF,Brighton,18,3,15,0,,184,162.5,1.4,43,0,3.7,4,2674,0,0.0,1.04,0.19,,5.68,,229,24,51,757.9,41.60,1.45,2.8,31,0,24,Estupiñan,10,50.9,4,297.0,0.34,105,74,,593,,0,21,3.88,1,25.6,402,76,128,a,5,0.13,575.2,1,0.06,1.80,7,9,
132,Evan Ferguson,60,FWD,Brighton,13,41,8,0,,58,79.9,1.29,12,0,3.4,1,942,0,0.0,0.96,0.57,,5.98,,79,183,155,150.4,13.45,1.15,2.6,10,0,25,Ferguson,6,10.1,21,361.0,0.57,92,106,,213,,0,20,0.54,9,10.8,558,199,65,a,21,0.05,286.2,6,0.52,5.44,2,25,
133,Billy Gilmour,50,MID,Brighton,141,478,0,0,,142,15.8,1.68,8,0,1.5,1,502,0,0.0,1.25,0.23,,1.30,,259,281,325,56.5,9.35,1.43,2.1,7,0,167,Gilmour,2,0.1,148,33.0,0.36,301,323,,105,,0,145,0.80,157,4.2,432,327,21,a,151,0.14,67.6,0,0.09,0.50,1,152,
134,Pascal Groß,65,MID,Brighton,13,80,14,0,,227,273.2,1.35,51,0,4.3,7,3240,0,0.0,1.03,0.39,,14.12,1.0,40,5,11,1227.5,48.43,1.42,2.8,37,1,25,Gross,11,4.8,3,582.0,0.31,44,30,,748,,0,5,8.93,28,24.5,560,13,159,a,8,0.25,918.6,9,0.14,5.19,8,31,2.0
135,João Pedro Junqueira de Jesus,55,FWD,Brighton,71,64,0,0,,49,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,142,606,606,0.0,0.00,0.0,2.3,0,0,37,João Pedro,0,6.0,71,0.0,0.0,606,606,,0,,0,71,0.00,12,0.0,530,606,0,a,71,0.0,0.0,0,0.0,0.00,0,71,
136,Michał Karbownik,40,DEF,Brighton,167,425,0,0,,45,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,,0.00,,595,437,447,0.0,0.00,0.0,1.5,0,0,192,Karbownik,0,0.2,166,0.0,0.0,422,452,,0,,0,166,0.00,164,0.0,83,445,0,a,166,0.0,0.0,0,0.0,0.00,0,165,
137,Kacper Kozłowski,45,MID,Brighton,216,607,0,0,,55,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.00,,490,535,539,0.0,0.00,0.0,0.0,0,0,247,Kozłowski,0,0.0,215,0.0,0.0,530,540,Joined vitesse on a season long loan,0,2023-07-20T08:40:22.941077Z,0,215,0.00,256,0.0,297,538,0,u,215,0.0,0.0,0,0.0,0.00,0,214,
138,Adam Lallana,50,MID,Brighton,61,492,4,0,,70,48.5,1.33,10,0,2.9,0,717,0,0.0,1.51,0.26,,2.10,,149,156,236,186.7,10.59,1.26,2.1,12,0,95,Lallana,5,0.1,101,152.0,0.63,176,153,,146,,0,119,1.22,162,9.4,322,277,47,a,113,0.15,144.2,2,0.11,0.88,1,110,
